location_id,year,month,temp_mean,temp_max,temp_min,rain_sum,rain_days,sunshine_mean_hours,radiation_mean,et0_mean,wind_speed_max,date
25,2012,8,23.225806451612904,29.7,18.9,155.3,28,10.714372580645158,19.772903225806452,4.462580645161291,21.6,2012-08-01
25,2012,9,22.453333333333333,28.0,18.2,170.4,26,10.330500370370371,19.892666666666667,4.086666666666667,17.5,2012-09-01
25,2012,10,21.44193548387097,30.0,17.7,657.4,29,7.834943279569893,16.513548387096776,3.314516129032258,19.7,2012-10-01
25,2012,11,20.823333333333334,25.6,17.4,362.8,22,8.345916203703704,14.968333333333334,2.896666666666667,13.7,2012-11-01
25,2012,12,19.970967741935485,24.6,14.0,286.4,22,7.963660394265233,13.554516129032258,2.529677419354839,12.1,2012-12-01
25,2013,1,19.67096774193548,24.6,13.4,320.90000000000003,15,8.349507258064516,15.268064516129032,2.8806451612903223,10.7,2013-01-01
25,2013,2,20.207142857142856,25.0,14.8,155.9,15,9.657480952380952,18.279999999999998,3.4339285714285714,14.9,2013-02-01
25,2013,3,21.080645161290324,26.4,17.1,226.5,19,9.980932078853048,19.642903225806453,3.769354838709677,11.4,2013-03-01
25,2013,4,22.2,27.6,17.7,171.6,18,10.477791666666667,21.58966666666667,4.236666666666666,8.0,2013-04-01
25,2013,5,22.845161290322583,28.1,18.2,229.5,27,9.504366845878138,18.885806451612904,3.7638709677419357,18.6,2013-05-01
25,2013,6,22.233333333333334,27.0,18.9,289.2,30,9.709513796296296,16.831333333333333,3.505,22.0,2013-06-01
25,2013,7,22.4,28.1,18.8,155.6,26,10.62004516129032,18.996774193548386,4.04516129032258,20.2,2013-07-01
25,2013,8,22.932258064516127,29.3,18.2,206.9,27,10.736100985663082,20.521612903225805,4.509677419354839,21.6,2013-08-01
25,2013,9,22.40666666666667,30.0,17.7,183.3,21,9.862378611111112,19.061333333333334,4.0713333333333335,19.7,2013-09-01
25,2013,10,22.370967741935484,30.7,18.0,212.5,26,9.848173118279572,19.093225806451613,4.064193548387097,18.6,2013-10-01
25,2013,11,20.59,25.6,16.1,239.20000000000002,21,9.711019074074072,16.938,3.2336666666666667,12.4,2013-11-01
25,2013,12,19.858064516129033,24.7,15.9,184.5,20,7.7306312724014346,12.930967741935484,2.4577419354838708,12.7,2013-12-01
25,2014,1,19.612903225806452,24.2,14.1,116.60000000000001,15,9.360640322580645,15.76258064516129,2.9093548387096773,10.7,2014-01-01
25,2014,2,20.014285714285712,25.8,12.5,29.0,6,10.922538988095239,21.461071428571426,4.0060714285714285,13.9,2014-02-01
25,2014,3,20.967741935483872,28.2,13.4,60.5,9,10.925731810035844,22.509677419354837,4.305483870967742,14.2,2014-03-01
25,2014,4,22.133333333333333,28.8,16.3,206.3,16,10.359406296296296,21.327333333333332,4.235,9.2,2014-04-01
25,2014,5,22.59032258064516,28.8,18.2,215.2,27,9.676909408602148,19.220967741935485,3.833870967741935,14.9,2014-05-01
25,2014,6,23.88,29.9,19.1,115.4,25,10.89835601851852,19.872666666666664,4.608333333333333,23.8,2014-06-01
25,2014,7,24.19677419354839,30.4,19.4,112.2,24,10.78700878136201,19.955806451612904,5.024516129032258,22.8,2014-07-01
25,2014,8,22.845161290322583,28.9,17.5,194.8,28,10.238586111111113,18.844516129032257,4.195483870967742,19.1,2014-08-01
25,2014,9,23.016666666666666,30.3,18.7,272.7,29,10.343348333333335,19.918333333333333,4.380333333333334,18.6,2014-09-01
25,2014,10,21.183870967741935,27.1,17.9,482.3,30,8.55532275985663,16.468709677419355,3.2138709677419355,15.8,2014-10-01
25,2014,11,20.44,25.7,16.0,410.5,24,7.654656481481481,14.266666666666667,2.7180000000000004,13.6,2014-11-01
25,2014,12,20.17096774193548,24.6,16.7,671.4000000000001,29,6.28952213261649,11.578064516129032,2.237096774193548,14.1,2014-12-01
25,2015,1,20.061290322580643,24.8,15.2,37.6,9,10.510168100358424,18.075161290322583,3.398387096774193,10.0,2015-01-01
25,2015,2,19.724999999999998,24.6,12.6,173.3,16,10.022578571428571,18.679285714285715,3.457857142857143,12.0,2015-02-01
25,2015,3,20.845161290322583,27.2,13.7,106.6,14,10.60203987455197,22.824193548387097,4.3425806451612905,10.2,2015-03-01
25,2015,4,21.46333333333333,26.6,17.4,318.2,27,9.678444629629627,20.158666666666665,3.9166666666666665,7.7,2015-04-01
25,2015,5,22.370967741935484,28.4,18.5,243.9,29,9.873102956989248,19.345483870967744,3.777741935483871,16.3,2015-05-01
25,2015,6,22.636666666666667,28.2,18.3,128.9,24,10.572568796296295,19.670666666666666,3.9843333333333333,19.5,2015-06-01
25,2015,7,23.46451612903226,29.3,18.9,132.9,26,10.662218100358423,19.91032258064516,4.512903225806451,20.9,2015-07-01
25,2015,8,23.116129032258065,30.3,19.0,188.4,29,10.728120071684586,20.316129032258065,4.400967741935484,22.3,2015-08-01
25,2015,9,22.30666666666667,28.7,18.5,275.0,28,9.44306435185185,17.87933333333333,3.6783333333333332,18.9,2015-09-01
25,2015,10,21.251612903225805,26.6,18.0,677.7,31,7.731050896057348,15.916451612903225,3.111612903225806,13.9,2015-10-01
25,2015,11,20.85,25.1,17.3,383.4,28,7.866419537037035,14.289333333333333,2.766,12.3,2015-11-01
25,2015,12,20.490322580645163,24.8,15.0,274.6,24,8.984685215053764,14.630322580645162,2.734193548387097,14.0,2015-12-01
25,2016,1,20.509677419354837,25.8,15.1,54.6,11,10.408487365591398,18.0258064516129,3.390322580645161,11.9,2016-01-01
25,2016,2,21.017241379310345,27.2,13.9,45.7,10,10.517221839080463,19.93344827586207,3.7948275862068965,14.3,2016-02-01
25,2016,3,22.67096774193548,30.3,15.9,50.9,6,11.09016505376344,23.501290322580644,4.683225806451613,12.6,2016-03-01
25,2016,4,23.073333333333334,30.0,18.2,110.7,18,10.713961666666666,22.369000000000003,4.456666666666666,7.9,2016-04-01
25,2016,5,22.77741935483871,28.5,19.3,514.4,31,8.55549363799283,16.380645161290325,3.2983870967741935,16.4,2016-05-01
25,2016,6,23.03666666666667,28.3,19.4,131.2,29,10.535170833333336,19.112333333333332,4.093999999999999,22.4,2016-06-01
25,2016,7,23.27741935483871,31.1,19.0,201.4,24,10.56197123655914,19.325483870967744,4.362580645161291,22.4,2016-07-01
25,2016,8,23.338709677419356,29.5,18.2,119.5,25,10.888574193548386,20.852903225806454,4.685161290322581,20.9,2016-08-01
25,2016,9,23.813333333333333,30.9,17.8,87.0,22,10.720318333333337,21.319666666666667,5.043666666666667,19.5,2016-09-01
25,2016,10,22.712903225806453,31.1,17.5,197.0,24,10.447412724014335,20.455483870967743,4.397741935483872,16.9,2016-10-01
25,2016,11,20.736666666666668,25.4,17.2,305.1,24,8.089752407407408,14.635666666666667,2.8253333333333335,9.5,2016-11-01
25,2016,12,20.4,25.7,15.1,65.5,13,10.373804032258064,17.595806451612905,3.3325806451612903,19.0,2016-12-01
25,2017,1,18.09032258064516,23.4,9.1,193.7,15,9.242252598566308,18.44516129032258,3.1516129032258067,21.4,2017-01-01
25,2017,2,18.592857142857145,24.2,11.2,89.9,11,9.578674999999999,20.09035714285714,3.519642857142857,20.8,2017-02-01
25,2017,3,19.967741935483872,25.8,12.4,92.0,19,10.170153942652329,21.843548387096774,4.064516129032258,16.0,2017-03-01
25,2017,4,21.94333333333333,28.9,15.4,55.4,7,10.809825925925924,24.297,4.897666666666667,18.0,2017-04-01
25,2017,5,22.799999999999997,29.3,16.4,102.7,20,10.285038440860214,20.250967741935483,4.255806451612903,20.9,2017-05-01
25,2017,6,22.773333333333333,29.5,17.3,49.9,14,10.153319074074073,19.617,4.160666666666667,23.3,2017-06-01
25,2017,7,23.187096774193545,30.0,17.7,61.5,13,10.430031362007167,20.175806451612903,4.424516129032258,17.0,2017-07-01
25,2017,8,22.432258064516127,28.9,16.5,54.0,12,9.584170519713261,18.92096774193548,4.01,19.5,2017-08-01
25,2017,9,21.32,28.9,16.1,101.10000000000001,14,8.774611018518518,18.190333333333335,3.6726666666666667,16.3,2017-09-01
25,2017,10,21.59032258064516,28.1,17.2,187.20000000000002,20,8.633393189964156,16.60967741935484,3.4132258064516128,18.2,2017-10-01
25,2017,11,19.563333333333333,26.0,12.8,484.6,26,6.543284907407408,13.840333333333332,2.5873333333333335,27.3,2017-11-01
25,2017,12,19.019354838709678,24.1,14.6,123.3,22,8.750930913978493,15.715483870967741,2.7183870967741934,22.0,2017-12-01
25,2018,1,18.041935483870965,23.6,10.9,91.8,15,9.671477956989246,18.774838709677418,3.1716129032258062,22.0,2018-01-01
25,2018,2,18.892857142857142,24.6,10.3,141.0,17,9.75319513888889,19.607142857142858,3.4189285714285718,16.7,2018-02-01
25,2018,3,19.938709677419357,25.6,14.2,121.9,19,9.743147222222222,20.239032258064515,3.741290322580645,15.4,2018-03-01
25,2018,4,20.513333333333332,26.1,15.3,96.0,20,10.009960925925924,20.613666666666667,3.859666666666667,13.4,2018-04-01
25,2018,5,21.148387096774194,26.8,16.9,216.1,19,7.735821684587815,16.81967741935484,3.262903225806452,18.5,2018-05-01
25,2018,6,21.846666666666668,27.1,16.5,31.2,11,10.329932777777778,20.750333333333334,4.106333333333334,18.5,2018-06-01
25,2018,7,21.612903225806452,27.3,16.6,72.7,14,10.092687724014336,20.53451612903226,4.158387096774193,36.0,2018-07-01
25,2018,8,21.387096774193548,28.4,16.1,71.2,16,9.744285304659497,20.213870967741936,4.1325806451612905,31.7,2018-08-01
25,2018,9,21.35,30.1,15.2,207.1,20,9.880262962962963,20.896666666666665,4.221666666666667,15.6,2018-09-01
25,2018,10,20.10967741935484,25.1,14.2,510.3,29,7.309857347670249,15.287096774193548,2.868387096774194,17.2,2018-10-01
25,2018,11,19.586666666666666,24.9,13.2,368.5,27,8.326537685185185,16.175333333333334,2.9196666666666666,18.1,2018-11-01
25,2018,12,18.870967741935484,24.6,12.7,123.6,19,8.889682795698924,17.06677419354839,2.980645161290323,21.5,2018-12-01
25,2019,1,18.312903225806455,23.8,10.9,141.3,18,9.705111200716846,18.57709677419355,3.0593548387096776,20.5,2019-01-01
25,2019,2,19.49285714285714,25.3,12.1,179.6,24,9.6992626984127,18.945357142857144,3.313928571428572,17.6,2019-02-01
25,2019,3,19.9741935483871,26.4,13.6,91.5,11,10.810633691756276,24.046129032258065,4.493548387096775,15.3,2019-03-01
25,2019,4,21.35666666666667,27.0,14.8,156.70000000000002,18,9.31709212962963,20.573666666666668,4.008,12.8,2019-04-01
25,2019,5,22.48709677419355,29.1,15.9,52.6,18,10.472928853046596,21.490967741935485,4.367741935483871,18.4,2019-05-01
25,2019,6,23.06,29.4,16.8,28.4,8,10.203169351851852,20.563,4.3790000000000004,17.6,2019-06-01
25,2019,7,22.677419354838708,31.0,16.2,26.1,14,10.806371863799285,21.616451612903226,4.549032258064517,17.7,2019-07-01
25,2019,8,21.887096774193548,29.5,16.4,72.1,16,8.466080107526881,17.201612903225808,3.6164516129032256,18.7,2019-08-01
25,2019,9,21.223333333333336,29.2,16.2,163.2,25,9.324615925925926,18.953,3.7393333333333336,17.2,2019-09-01
25,2019,10,19.961290322580645,24.9,15.9,418.7,30,6.294846863799283,14.490645161290322,2.721290322580645,27.0,2019-10-01
25,2019,11,19.77,24.9,14.7,241.5,27,9.197839166666668,17.677666666666667,3.1813333333333333,15.3,2019-11-01
25,2019,12,19.306451612903224,24.1,14.8,385.0,26,8.176712455197134,15.169354838709678,2.638709677419355,18.8,2019-12-01
25,2020,1,18.896774193548385,24.4,11.9,83.8,18,10.571015681003585,20.530967741935484,3.5464516129032257,21.0,2020-01-01
25,2020,2,19.158620689655173,24.5,12.5,112.9,17,10.664801340996169,21.822758620689655,3.70448275862069,20.0,2020-02-01
25,2020,3,20.787096774193547,27.1,14.6,39.7,9,10.992920788530464,24.84903225806452,4.757741935483871,17.4,2020-03-01
25,2020,4,21.273333333333333,27.5,15.2,148.2,22,10.31857296296296,22.274,4.270666666666667,13.7,2020-04-01
25,2020,5,22.26451612903226,28.5,16.6,134.3,21,8.770183243727597,18.386129032258065,3.7399999999999998,31.0,2020-05-01
25,2020,6,22.373333333333335,29.0,15.6,40.5,9,10.084150833333332,20.325333333333333,4.195333333333333,16.8,2020-06-01
25,2020,7,21.825806451612905,28.0,16.0,82.0,14,9.281390143369176,18.061935483870965,3.666451612903226,15.5,2020-07-01
25,2020,8,22.067741935483873,29.9,15.8,62.2,14,10.141803225806452,21.299999999999997,4.40258064516129,19.4,2020-08-01
25,2020,9,21.05666666666667,26.5,16.0,154.1,18,7.921115648148148,16.302333333333333,3.272,14.1,2020-09-01
25,2020,10,21.53548387096774,28.8,14.6,70.8,13,10.59606693548387,22.020967741935483,4.510967741935484,23.2,2020-10-01
25,2020,11,20.08,25.7,14.9,223.70000000000002,28,8.854916851851852,16.372666666666667,2.9893333333333336,19.5,2020-11-01
25,2020,12,19.316129032258065,25.5,14.2,378.7,23,8.455288620071684,15.681290322580645,2.7925806451612902,21.1,2020-12-01
25,2021,1,18.94516129032258,24.4,12.5,372.5,24,7.44683646953405,14.818709677419355,2.5493548387096774,16.3,2021-01-01
25,2021,2,18.946428571428573,25.3,12.4,99.6,15,10.624550000000001,21.177500000000002,3.61,21.7,2021-02-01
25,2021,3,19.52258064516129,26.9,11.5,132.6,20,9.35729829749104,20.11774193548387,3.7125806451612906,16.6,2021-03-01
25,2021,4,20.696666666666665,28.0,14.5,225.1,16,9.998972222222223,21.639666666666667,4.169333333333333,15.3,2021-04-01
25,2021,5,21.461290322580645,26.9,16.4,160.3,22,8.244262724014337,17.615806451612904,3.4448387096774193,24.3,2021-05-01
25,2021,6,21.226666666666667,27.1,15.1,125.0,11,10.507153055555557,21.623333333333335,4.197666666666667,17.6,2021-06-01
25,2021,7,21.635483870967743,27.4,16.2,76.7,18,9.88739112903226,19.654838709677417,3.947741935483871,30.9,2021-07-01
25,2021,8,21.48709677419355,27.9,15.0,85.4,17,9.223135483870967,19.01483870967742,3.8464516129032256,16.0,2021-08-01
25,2021,9,21.423333333333336,28.2,15.7,83.0,19,9.531043240740741,19.545,3.912,24.9,2021-09-01
25,2021,10,20.690322580645162,27.7,15.7,198.79999999999998,21,8.562880734767024,18.031935483870967,3.500322580645161,20.7,2021-10-01
25,2021,11,20.073333333333334,26.0,12.4,334.1,26,6.70358537037037,14.579,2.766,16.3,2021-11-01
25,2021,12,18.98709677419355,24.4,11.9,149.9,25,9.657949820788533,18.636774193548387,3.189032258064516,19.1,2021-12-01
25,2022,1,18.612903225806452,24.4,10.7,123.1,23,9.693834587813619,19.228709677419356,3.301290322580645,20.6,2022-01-01
25,2022,2,18.896428571428572,24.8,11.3,80.4,15,9.676850892857143,21.289285714285715,3.7339285714285713,19.9,2022-02-01
25,2022,3,20.032258064516128,26.9,13.4,78.7,24,9.955789784946235,21.33645161290323,3.9625806451612906,21.0,2022-03-01
25,2022,4,20.386666666666667,26.2,15.6,212.1,29,8.626060092592592,18.422666666666665,3.4796666666666667,13.7,2022-04-01
25,2022,5,22.135483870967743,28.4,16.5,72.8,16,9.616120161290322,20.46677419354839,4.084193548387097,20.0,2022-05-01
25,2022,6,21.616666666666667,27.1,15.8,80.5,14,9.626945092592592,19.229,3.8103333333333333,18.0,2022-06-01
25,2022,7,21.65806451612903,28.1,16.4,93.4,19,8.314674372759857,17.904516129032256,3.7351612903225804,28.0,2022-07-01
25,2022,8,21.258064516129032,26.7,16.0,153.8,21,8.765117831541218,19.08258064516129,3.790967741935484,21.3,2022-08-01
25,2022,9,21.043333333333333,27.3,14.8,90.7,15,9.966200740740742,21.712,4.262666666666666,16.6,2022-09-01
25,2022,10,20.458064516129035,26.9,15.0,204.4,26,7.604356451612903,16.760645161290324,3.2470967741935484,17.4,2022-10-01
25,2022,11,19.186666666666667,25.9,12.4,264.3,25,7.740791203703703,16.605333333333334,3.022666666666667,20.7,2022-11-01
25,2022,12,18.703225806451613,24.6,12.4,186.5,23,7.575634229390682,15.384193548387096,2.790645161290323,38.2,2022-12-01
25,2023,1,17.86774193548387,22.8,10.7,135.8,22,9.152158960573479,18.609354838709677,3.063548387096774,22.3,2023-01-01
25,2023,2,18.75,23.9,11.5,147.0,19,9.051555059523809,19.82107142857143,3.3707142857142856,19.9,2023-02-01
25,2023,3,19.641935483870967,25.9,15.0,118.5,19,9.401756003584229,20.888387096774192,3.7577419354838706,15.5,2023-03-01
25,2023,4,20.583333333333332,26.7,14.4,116.5,17,10.079032314814812,22.464333333333336,4.2043333333333335,14.7,2023-04-01
25,2023,5,21.79032258064516,28.9,15.6,146.4,19,9.13670152329749,19.845806451612905,3.9303225806451616,18.9,2023-05-01
25,2023,6,22.8,28.3,17.0,39.8,16,10.506540092592594,21.163333333333334,4.325333333333333,15.6,2023-06-01
25,2023,7,22.729032258064517,29.9,16.2,70.0,18,9.625108154121863,19.622258064516128,4.21741935483871,26.0,2023-07-01
25,2023,8,22.916129032258063,30.8,15.9,97.3,18,10.775374731182797,22.477096774193548,4.73483870967742,17.8,2023-08-01
25,2023,9,21.56,26.8,16.4,139.3,20,8.242723611111112,17.418,3.4633333333333334,19.1,2023-09-01
25,2023,10,20.603225806451615,25.6,15.9,395.3,29,7.134161379928315,15.490322580645161,2.9574193548387098,13.7,2023-10-01
25,2023,11,20.256666666666668,25.4,14.6,504.5,29,7.160166296296296,15.035666666666666,2.7866666666666666,12.5,2023-11-01
25,2023,12,20.02258064516129,25.3,15.2,389.5,28,6.850025358422939,14.18,2.528709677419355,17.3,2023-12-01
25,2024,1,19.248387096774195,24.3,11.1,227.1,24,8.57772894265233,17.64032258064516,3.040645161290323,18.2,2024-01-01
25,2024,2,19.817241379310346,25.8,13.1,91.8,17,10.376432758620693,21.766896551724138,3.818620689655172,18.7,2024-02-01
25,2024,3,20.774193548387096,28.2,13.5,67.0,9,10.620956182795702,24.337741935483873,4.703225806451614,17.0,2024-03-01
25,2024,4,21.95,28.1,15.6,102.2,16,10.516264074074073,23.596333333333334,4.593999999999999,14.2,2024-04-01
25,2024,5,23.006451612903227,30.2,17.9,215.5,22,8.478108691756274,18.74967741935484,3.786774193548387,20.9,2024-05-01
25,2024,6,22.725,26.9,17.6,30.599999999999998,4,9.499270833333334,18.9175,3.73875,14.1,2024-06-01
26,2010,1,19.89032258064516,24.7,14.9,86.8,17,10.11441953405018,17.32193548387097,3.242903225806452,12.3,2010-01-01
26,2010,2,20.657142857142855,27.4,14.1,48.6,6,9.909482440476191,20.302500000000002,3.912857142857143,11.6,2010-02-01
26,2010,3,22.016129032258064,28.9,15.0,147.2,14,10.784385573476705,22.509354838709676,4.5,12.9,2010-03-01
26,2010,4,21.953333333333333,27.3,17.8,315.0,27,9.657501388888885,19.910333333333334,3.886,10.6,2010-04-01
